id,Title,Price,Year,Mileage,Fuel_Type,Horsepower,Transmission,Page,Link
5345,Toyota Corolla 2015 XLi VVTi for Sale,PKR 34.8 lacs,2015,"60,500 km",Petrol,1300 cc,Manual,page 152,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-9282094
5346,Daihatsu Boon 2013 1.0 CL Limited for Sale,PKR 26 lacs,2013,"102,000 km",Petrol,1000 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/daihatsu-boon-2013-for-sale-in-lahore-8764016
5347,Mitsubishi Mirage 2012 1.0 M for Sale,PKR 19.75 lacs,2012,"190,000 km",Petrol,1000 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/mitsubishi-mirage-2012-for-sale-in-lahore-9207767
5348,Toyota Vitz 2005 F 1.0 for Sale,PKR 19 lacs,2005,"85,000 km",Petrol,1000 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/toyota-vitz-2005-for-sale-in-lahore-8668865
5349,Suzuki Mehran 2004 VX (CNG) for Sale,PKR 4.5 lacs,2004,"50,000 km",Petrol,800 cc,Manual,page 152,https://www.pakwheels.com/used-cars/suzuki-mehran-2004-for-sale-in-lahore-9289045
5350,Toyota Prius 2011 S 1.5 for Sale,PKR 34 lacs,2011,"232,000 km",Hybrid,1497 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-lahore-9289043
5351,Toyota Aqua 2012 S for Sale,PKR 34.75 lacs,2012,"89,000 km",Hybrid,1500 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/toyota-aqua-2012-for-sale-in-lahore-9289038
5352,Changan Oshan X7 2022 FutureSense for Sale,PKR 79 lacs,2022,"15,000 km",Petrol,1500 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-lahore-9289032
5353,Honda Civic 2021 1.5 RS Turbo for Sale,PKR 64 lacs,2021,"76,000 km",Petrol,1500 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-9289028
5354,Toyota Corolla 2012 Altis SR Cruisetronic 1.6 for Sale,PKR 31 lacs,2012,"147,000 km",Petrol,1600 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-lahore-9289026
5355,Honda Vezel 2015 Hybrid Z for Sale,PKR 50 lacs,2015,"88,000 km",Hybrid,1500 cc,Automatic,page 152,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-9289027
5356,Suzuki Alto 2012 for Sale,PKR 12.5 lacs,2012,"150,000 km",Petrol,1000 cc,Manual,page 152,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-lahore-9066459
5357,Hyundai Santro 2006 Exec for Sale,PKR 11 lacs,2006,"260,000 km",Petrol,1000 cc,Manual,page 152,https://www.pakwheels.com/used-cars/hyundai-santro-2006-for-sale-in-lahore-9289012
5358,Toyota Coaster 1993 for Sale,PKR 52 lacs,1993,"200,000 km",Diesel,4200 cc,Manual,page 152,https://www.pakwheels.com/used-cars/toyota-coaster-1993-for-sale-in-lahore-9288994
5359,Suzuki Swift 2022 GL Manual for Sale,PKR 39.45 lacs,2022,"20,055 km",Petrol,1200 cc,Manual,page 153,https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-lahore-9288991
